A515,ACE INA Insurance
A016,AIG Commercial Insurance Company of Canada
A018,AIG United Guaranty Mortgage Insurance Company Canada
A030,Allstate Insurance Company of Canada
A040,Antigonish Farmers' Mutual Insurance Company
A041,Ascentus Insurance Ltd.
A390,Aviva Insurance Company of Canada
A037,AXA General Insurance
A043,AXA Insurance (Canada)
A532,AXA Pacific Insurance Company
A050,Boiler Inspection and Insurance Company of Canada (The)
A095,Canadian Direct Insurance Incorporated
A135,Canadian Northern Shield Insurance Company
A191,Certas Direct Insurance Company
A193,Certas Home and Auto Insurance Company
A192,Chancellor Reinsurance Company of Canada
A196,Chubb Insurance Company of Canada
A200,Clare Mutual Insurance Company
A252,Co-operators General Insurance Company
A210,Commonwealth Insurance Company
A245,Constitution Insurance Company of Canada
A254,Coseco Insurance Company
A255,CUMIS General Insurance Company
A270,Dominion of Canada General Insurance Company (The)
A524,Echelon General Insurance Company
A300,Economical Mutual Insurance Company
A310,Elite Insurance Company
A320,Equitable General Insurance Company (The)
A637,Everest Insurance Company of Canada
A323,FCT Insurance Company Ltd.
A325,Federated Insurance Company of Canada
A350,Federation Insurance Company of Canada
A378,First North American Insurance Company
A380,Foresters Indemnity Company
A387,Genworth Financial Mortgage Insurance Company Canada
A395,Gold Circle Insurance Company
A420,Gore Mutual Insurance Company
A430,Grain Insurance and Guarantee Company
A805,Granite Insurance Company
T035,Green Shield Canada
A460,Guarantee Company of North America (The)
A517,Industrial Alliance Pacific General Insurance Corporation
A480,ING Insurance Company of Canada
A115,ING Novex Insurance Company of Canada
A522,Jevco Insurance Company
A530,Kings Mutual Insurance Company (The)
A370,Legacy General Insurance Company
A246,Lombard General Insurance Company of Canada
A249,Lombard Insurance Company
A560,Markel Insurance Company of Canada
A580,Missisquoi Insurance Company (The)
A590,Mortgage Insurance Company of Canada (The)
A600,Munich Reinsurance Company of Canada
A470,Nordic Insurance Company of Canada (The)
A630,North Waterloo Farmers Mutual Insurance Company (The)
A636,Old Republic Insurance Company of Canada
A638,Omega General Insurance Company
A639,Pafco Insurance Company
A648,Pembridge Insurance Company
