Code,Name of Company
A016,Chartis Insurance Company of Canada
A018,Canada Guaranty Mortgage Insurance Company
A030,Allstate Insurance Company of Canada
A037,AXA General Insurance
A040,Antigonish Farmers' Mutual Insurance Company
A041,Ascentus Insurance Ltd.
A043,AXA Insurance (Canada)
A045,TD General Insurance Company
A050,Boiler Inspection and Insurance Company of Canada (The)
A085,Primmum Insurance Company
A090,Scotia General Insurance Company
A095,Canadian Direct Insurance Incorporated
A115,Novex Insurance Company
A135,Canadian Northern Shield Insurance Company
A191,Certas Direct Insurance Company
A192,Chancellor Reinsurance Company of Canada
A193,Certas Home and Auto Insurance Company
A196,Chubb Insurance Company of Canada
A200,Clare Mutual Insurance Company
A210,Northbridge Indemnity Insurance Corporation
A245,Constitution Insurance Company of Canada
A246,Northbridge General Insurance Corporation
A249,Northbridge Personal Insurance Corporation
A252,Co-operators General Insurance Company
A254,Coseco Insurance Company
A255,CUMIS General Insurance Company
A258,DAS Legal Protection Insurance Company Limited
A270,Dominion of Canada General Insurance Company (The)
A300,Economical Mutual Insurance Company
A310,Elite Insurance Company
A320,Equitable General Insurance Company (The)
A323,FCT Insurance Company Ltd.
A325,Federated Insurance Company of Canada
A350,Federation Insurance Company of Canada
A370,Legacy General Insurance Company
A378,First North American Insurance Company
A380,Foresters Indemnity Company
A387,Genworth Financial Mortgage Insurance Company Canada
A390,Aviva Insurance Company of Canada
A393,RBC General Insurance Company
A420,Gore Mutual Insurance Company
A430,Grain Insurance and Guarantee Company
A450,Temple Insurance Company
A460,Guarantee Company of North America (The)
A470,Nordic Insurance Company of Canada (The)
A480,Intact Insurance Company
A515,ACE INA Insurance
A522,Jevco Insurance Company
A524,Echelon General Insurance Company
A525,Suecia Reinsurance Company
A530,Kings Mutual Insurance Company (The)
A532,AXA Pacific Insurance Company
A555,Travelers Guarantee Company of Canada
A560,Northbridge Commercial Insurance Corporation
A580,Missisquoi Insurance Company (The)
A590,Mortgage Insurance Company of Canada (The)
A600,Munich Reinsurance Company of Canada
A630,North Waterloo Farmers Mutual Insurance Company (The)
A635,TD Direct Insurance Inc.
A636,Old Republic Insurance Company of Canada
A637,Everest Insurance Company of Canada
A638,Omega General Insurance Company
A639,Pafco Insurance Company
A648,Pembridge Insurance Company
A650,Personal Insurance Company (The)
A660,Perth Insurance Company
A680,Pictou County Farmers' Mutual Fire Insurance Company
A685,Pilot Insurance Company
A695,PMI Mortgage Insurance Company Canada
A700,Pool Insurance Company
A710,Portage la Prairie Mutual Insurance Company (The)
A717,TD Home and Auto Insurance Company
A720,Quebec Assurance Company
A735,Royal & Sun Alliance Insurance Company of Canada
A740,Saskatchewan Mutual Insurance Company
A745,SCOR Canada Reinsurance Company
A748,Western Financial Insurance Company
A751,Scottish & York Insurance Co. Limited
A760,Security National Insurance Company
A770,Sovereign General Insurance Company (The)
A805,Granite Insurance Company
A807,S&Y Insurance Company
A820,Traders General Insurance Company
A823,Trafalgar Insurance Company of Canada
A834,Trisura Guarantee Insurance Company
A835,Unifund Assurance Company
A865,RBC Insurance Company of Canada
A870,Waterloo Insurance Company
A880,Wawanesa Mutual Insurance Company (The)
A895,Western Assurance Company
A920,Western Surety Company
A935,Zenith Insurance Company
A999,Total Canadian P+C
