Code,Company
A999,Total Canadian P+C
B999,Total Foreign P+C
A515,ACE INA Insurance
D028,Affiliated FM Insurance Company
D655,Alea (Bermuda) Ltd.
D037,Allianz Global Risks US Insurance Company
D042,Allstate Insurance Company
A030,Allstate Insurance Company of Canada
D010,American Agricultural Insurance Company
D056,American Bankers Insurance Company of Florida
D112,American Road Insurance Company (The)
A040,Antigonish Farmers' Mutual Insurance Company
D124,Arch Insurance Company
A041,Ascentus Insurance Ltd.
D130,Aspen Insurance UK Limited
D136,Associated Electric & Gas Insurance Services Limited
D137,Atradius Credit Insurance N.V.
A390,Aviva Insurance Company of Canada
A043,AXA Insurance (Canada)
A532,AXA Pacific Insurance Company
D141,AXIS Reinsurance Company (Canadian Branch)
D150,Berkley Insurance Company
A050,Boiler Inspection and Insurance Company of Canada (The)
D165,Caisse Centrale de RÇassurance
A018,Canada Guaranty Mortgage Insurance Company
A095,Canadian Direct Insurance Incorporated
A135,Canadian Northern Shield Insurance Company
A191,Certas Direct Insurance Company
A193,Certas Home and Auto Insurance Company
A016,Chartis Insurance Company of Canada
D194,Cherokee Insurance Company
D196,Chicago Title Insurance Company
A196,Chubb Insurance Company of Canada
A200,Clare Mutual Insurance Company
D122,COLISEE RE
D309,Compagnie Franáaise d'Assurance pour le Commerce ExtÇrieur
A245,Constitution Insurance Company of Canada
D224,Continental Casualty Company
D235,Converium Reinsurance (North America) Inc.
A252,Co-operators General Insurance Company
D203,CorePointe Insurance Company
A254,Coseco Insurance Company
A255,CUMIS General Insurance Company
D900,Darwin National Assurance Company
D900,Darwin National Assurance Company
A258,DAS Legal Protection Insurance Company Limited
A270,Dominion of Canada General Insurance Company (The)
C110,Ecclesiastical Insurance Office Public Limited Company
A524,Echelon General Insurance Company
A300,Economical Mutual Insurance Company
D242,Electric Insurance Company
A310,Elite Insurance Company
D259,Employers Insurance Company of Wausau
A320,Equitable General Insurance Company (The)
D063,Euler Hermes North America Insurance Company
A637,Everest Insurance Company of Canada
D626,Everest Reinsurance Company
D035,Factory Mutual Insurance Company
A323,FCT Insurance Company Ltd.
D273,Federal Insurance Company
A325,Federated Insurance Company of Canada
A350,Federation Insurance Company of Canada
D427,Fidelity National Title Insurance Company
D290,First American Title Insurance Company
A378,First North American Insurance Company
D329,General Reinsurance Corporation
A387,Genworth Financial Mortgage Insurance Company Canada
A420,Gore Mutual Insurance Company
A430,Grain Insurance and Guarantee Company
D343,Great American Insurance Company
T035,Green Shield Canada
D344,Groupama S.A.
A460,Guarantee Company of North America (The)
D345,Hannover RÅckversicherung AG
D357,Hartford Fire Insurance Company
D369,"HDI-Gerling Industrie Versicherung AG, Canada Branch"
A480,Intact Insurance Company
D416,International Insurance Company of Hannover Limited
A522,Jevco Insurance Company
D422,Jewelers Mutual Insurance Company
A530,Kings Mutual Insurance Company (The)
A370,Legacy General Insurance Company
D441,Liberty Mutual Insurance Company
C180,Lloyd's Underwriters
D455,Lumbermen's Underwriting Alliance
D456,"Mapfre Re Compania de Reaseguros, S.A."
A580,Missisquoi Insurance Company (The)
D754,"Mitsui Sumitomo Insurance Company, Limited"
A590,Mortgage Insurance Company of Canada (The)
D490,Motors Insurance Corporation
D105,"Munich Reinsurance America, Inc."
A600,Munich Reinsurance Company of Canada
D505,National Liability & Fire Insurance Company
D511,Nationwide Mutual Insurance Company
C240,"New India Assurance Company, Limited (The)"
D533,"NIPPONKOA Insurance Company, Limited"
A470,Nordic Insurance Company of Canada (The)
A630,North Waterloo Farmers Mutual Insurance Company (The)
A560,Northbridge Commercial Insurance Corporation
A246,Northbridge General Insurance Corporation
A210,Northbridge Indemnity Insurance Corporation
A249,Northbridge Personal Insurance Corporation
A115,Novex Insurance Company
C440,NRG Victory Reinsurance Limited
D778,Odyssey Reinsurance Company
A636,Old Republic Insurance Company of Canada
A638,Omega General Insurance Company
A639,Pafco Insurance Company
D580,Partner Reinsurance Company of the U.S.
A648,Pembridge Insurance Company
A650,Personal Insurance Company (The)
A660,Perth Insurance Company
A680,Pictou County Farmers' Mutual Fire Insurance Company
A685,Pilot Insurance Company
A695,PMI Mortgage Insurance Company Canada
A710,Portage la Prairie Mutual Insurance Company (The)
A085,Primmum Insurance Company
D608,Progressive Casualty Insurance Company
D612,Protective Insurance Company
A720,Quebec Assurance Company
A393,RBC General Insurance Company
A865,RBC Insurance Company of Canada
A735,Royal & Sun Alliance Insurance Company of Canada
A807,S&Y Insurance Company
D667,Safety National Casualty Corporation
A740,Saskatchewan Mutual Insurance Company
A745,SCOR Canada Reinsurance Company
A090,Scotia General Insurance Company
A751,Scottish & York Insurance Co. Limited
D686,Security Insurance Company of Hartford
A760,Security National Insurance Company
D700,Sentry Insurance a Mutual Company
D703,Shipowners' Mutual Protection and Indemnity Association (The)
D305,Sirius America Insurance Company
D872,Sompo Japan Insurance Inc.
A770,Sovereign General Insurance Company (The)
D672,St. Paul Fire and Marine Insurance Company
D728,State Farm Fire and Casualty Company
D735,State Farm Mutual Automobile Insurance Company
D738,Stewart Title Guaranty Company
A525,Suecia Reinsurance Company
D755,Sunderland Marine Mutual Insurance Company Limited
D756,Swiss Reinsurance Company Ltd
D765,T.H.E. Insurance Company
A635,TD Direct Insurance Inc.
A045,TD General Insurance Company
A717,TD Home and Auto Insurance Company
A450,Temple Insurance Company
D777,TIG Insurance Company
D779,Toa Reinsurance Company of America (The)
D770,"Tokio Marine & Nichido Fire Insurance Co., Ltd."
A820,Traders General Insurance Company
A823,Trafalgar Insurance Company of Canada
D780,Transatlantic Reinsurance Company
A555,Travelers Insurance Company of Canada
A834,Trisura Guarantee Insurance Company
D803,Triton Insurance Company
A835,Unifund Assurance Company
D861,Utica Mutual Insurance Company
D862,"Virginia Surety Company, Inc."
A870,Waterloo Insurance Company
A880,Wawanesa Mutual Insurance Company (The)
A895,Western Assurance Company
A748,Western Financial Insurance Company
A920,Western Surety Company
D266,Westport Insurance Corporation
D871,XL Insurance Company Limited
D546,XL Reinsurance America Inc.
A935,Zenith Insurance Company
D875,Zurich Insurance Company Ltd
