Code,Company
A648,Pembridge Insurance Company (A648)
A695,MIC Insurance Company Canada (A695)
A030,Allstate Insurance Company of Canada (A030)
A050,Boiler Inspection and Insurance Company of Canada (The) (A050)
A191,Certas Direct Insurance Company (A191)
A323,FCT Insurance Company Ltd. (A323)
A325,Federated Insurance Company of Canada (A325)
A380,Foresters Indemnity Company (A380)
A525,Suecia Reinsurance Company (A525)
A735,Royal & Sun Alliance Insurance Company of Canada (A735)
A834,Trisura Guarantee Insurance Company (A834)
A895,Western Assurance Company (A895)
A920,Western Surety Company (A920)
D056,American Bankers Insurance Company of Florida (D056)
D224,Continental Casualty Company (D224)
D309,Compagnie Française d'Assurance pour le Commerce Extérieur (D309)
D546,XL Reinsurance America Inc. (D546)
D738,Stewart Title Guaranty Company (D738)
D779,Toa Reinsurance Company of America (The) (D779)
D726,Starr Insurance & Reinsurance Limited (D726)
A321,Esurance Insurance Company of Canada (A321)
A660,Perth Insurance Company (A660)
A255,CUMIS General Insurance Company (A255)
A635,TD Direct Insurance Inc. (A635)
A045,TD General Insurance Company (A045)
A760,Security National Insurance Company (A760)
A193,Certas Home and Auto Insurance Company (A193)
A246,Northbridge General Insurance Corporation (A246)
A252,Co-operators General Insurance Company (A252)
A310,Elite Insurance Company (A310)
A430,Wynward Insurance Group (A430)
A555,Travelers Insurance Company of Canada (A555)
A650,Personal Insurance Company (The) (A650)
A710,Portage la Prairie Mutual Insurance Company (The) (A710)
A745,SCOR Canada Reinsurance Company (A745)
C180,Lloyd's Underwriters (C180)
D037,Allianz Global Risks US Insurance Company (D037)
D112,American Road Insurance Company (The) (D112)
D141,AXIS Reinsurance Company (Canadian Branch) (D141)
D305,SiriusPoint America Insurance Company (D305)
D343,Great American Insurance Company (D343)
D345,Hannover Rück SE (D345)
D580,Partner Reinsurance Company of the U.S. (D580)
D655,Catalina General Insurance Ltd. (D655)
D700,Sentry Insurance Company (D700)
D756,Swiss Reinsurance Company Ltd (D756)
A639,Pafco Insurance Company (A639)
A865,RBC Insurance Company of Canada (A865)
A580,Missisquoi Insurance Company (The) (A580)
A870,Waterloo Insurance Company (A870)
A770,Sovereign General Insurance Company (The) (A770)
A717,TD Home and Auto Insurance Company (A717)
A040,Antigonish Farmers' Mutual Insurance Company (A040)
A200,Clare Mutual Insurance Company (A200)
A470,Nordic Insurance Company of Canada (The) (A470)
A751,Scottish & York Insurance Co. Limited (A751)
A823,Trafalgar Insurance Company of Canada (A823)
D136,Associated Electric & Gas Insurance Services Limited (AEGIS) (D136)
D196,Chicago Title Insurance Company (D196)
D242,Electric Insurance Company (D242)
D357,Hartford Fire Insurance Company (D357)
D369,HDI Global SE Canada Branch (D369)
D416,HDI Global Specialty SE (D416)
D456,Mapfre Re Compania de Reaseguros S.A. (D456)
D770,Tokio Marine & Nichido Fire Insurance Co. Ltd. (D770)
D875,Zurich Insurance Company Ltd (D875)
D850,United States Liability Insurance Company (D850)
D390,Hudson Insurance Company (D390)
A378,First North American Insurance Company (A378)
A090,Scotia General Insurance Company (A090)
A196,Chubb Insurance Company of Canada (A196)
A420,Gore Mutual Insurance Company (A420)
A450,Temple Insurance Company (A450)
A630,Heartland Farm Mutual Inc. (A630)
A636,Old Republic Insurance Company of Canada (A636)
A740,Saskatchewan Mutual Insurance Company (A740)
A807,S&Y Insurance Company (A807)
A835,Unifund Assurance Company (A835)
D010,American Agricultural Insurance Company (D010)
D105,Munich Reinsurance America Inc. (D105)
D130,Aspen Insurance UK Limited (D130)
D150,Berkley Insurance Company (D150)
D194,Cherokee Insurance Company (D194)
D266,Westport Insurance Corporation (D266)
D273,Federal Insurance Company (D273)
D505,National Liability & Fire Insurance Company (D505)
D511,Nationwide Mutual Insurance Company (D511)
D778,Odyssey Reinsurance Company (D778)
A748,Petline Insurance Company (A748)
A085,Primmum Insurance Company (A085)
A370,Canadian Premier General Insurance Company (A370)
A390,Aviva Insurance Company of Canada (A390)
A522,Jevco Insurance Company (A522)
A638,Omega General Insurance Company (A638)
A685,Pilot Insurance Company (A685)
A880,Wawanesa Mutual Insurance Company (The) (A880)
D028,Affiliated FM Insurance Company (D028)
D203,CorePointe Insurance Company (D203)
D259,Employers Insurance Company of Wausau (D259)
D329,General Reinsurance Corporation (D329)
D490,Motors Insurance Corporation (D490)
D612,Protective Insurance Company (D612)
D626,Everest Reinsurance Company (D626)
D754,Mitsui Sumitomo Insurance Company Limited (D754)
D803,Triton Insurance Company (D803)
D900,Allied World Specialty Insurance Company (D900)
A935,Zenith Insurance Company (A935)
A350,Sonnet Insurance Company (A350)
A249,Verassure Insurance Company (A249)
A016,AIG Insurance Company of Canada (A016)
A018,Canada Guaranty Mortgage Insurance Company (A018)
A041,Ascentus Insurance Ltd. (A041)
A042,Arch Insurance Canada Ltd. (A042)
A087,Canada Mortgage and Housing Corporation (A087)
A115,Novex Insurance Company (A115)
A135,Canadian Northern Shield Insurance Company (A135)
A270,Dominion of Canada General Insurance Company (The) (A270)
A387,Sagen Mortgage Insurance Company Canada (A387)
A393,Aviva General Insurance Company (A393)
A480,Intact Insurance Company (A480)
A524,Echelon Insurance (A524)
A600,Munich Reinsurance Company of Canada (A600)
A637,Everest Insurance Company of Canada (A637)
A720,Quebec Assurance Company (A720)
A820,Traders General Insurance Company (A820)
C110,Ecclesiastical Insurance Office Public Limited Company (C110)
D035,Factory Mutual Insurance Company (D035)
D063,Euler Hermes North America Insurance Company (D063)
D290,First American Title Insurance Company (D290)
D422,Jewelers Mutual Insurance Company SI (D422)
D441,Liberty Mutual Insurance Company (D441)
D667,Safety National Casualty Corporation (D667)
D672,St. Paul Fire and Marine Insurance Company (D672)
D872,Sompo Japan Insurance Inc. (D872)
D669,SCOR Insurance - Canadian Branch (D669)
D863,Validus Reinsurance Ltd. (D863)
A295,Definity Financial Corporation (A295)
D125,Arch Reinsurance Company (D125)
D180,CCR RE (D180)
A300,Definity Insurance Company(A300)
T035,Green Shield Canada (T035)
D873,XL Specialty Insurance Company (D873)
D769,Technology Insurance Company Inc. (D769)
D222,Atradius Crédito y Caución S.A. de Seguros y Reaseguros (D222)
D701,Shelter Mutual Insurance Company (D701)
D780,Transatlantic Reinsurance Company (D780)
A815,Tokio Marine Canada Ltd. (A815)
A999,Total Canadian P&C (A999)
D999,Total Foreign P&C (D999)
